

 ()  Site  - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Wed Jul 10 17:30:43 GMT-08:00 2019. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,WTEQ.I-1 (in) ,PREC.I-1 (in) ,TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,SNWD.I-1 (in) ,
0909,2011-10-01,,     0.0,     0.0,     7.8,    16.0,     7.4,    11.1,       0,
0909,2011-10-02,,     0.0,     0.4,     5.0,     9.1,     4.7,     6.8,       0,
0909,2011-10-03,,     0.0,     0.4,     6.2,     9.9,     3.6,     6.8,       0,
0909,2011-10-04,,     0.0,     0.8,     4.6,     7.2,     3.7,     6.0,       0,
0909,2011-10-05,,     0.0,     0.9,     4.3,     7.3,     3.6,     4.9,       0,
0909,2011-10-06,,     0.0,     1.3,     4.0,     5.4,     3.0,     4.4,       0,
0909,2011-10-07,,     0.0,     1.3,     4.2,     7.3,     3.2,     4.9,       0,
0909,2011-10-08,,     0.0,     1.5,     2.6,     6.3,     1.8,     4.6,       0,
0909,2011-10-09,,     0.0,     1.5,     5.9,    10.0,     1.9,     5.4,       0,
0909,2011-10-10,,     0.0,     1.5,     5.8,     8.6,     3.6,     6.0,       0,
0909,2011-10-11,,     0.0,     1.8,     5.3,     7.3,     4.7,     5.8,       0,
0909,2011-10-12,,     0.0,     2.8,     3.4,     6.5,     2.9,     4.9,       0,
0909,2011-10-13,,     0.0,     3.2,     0.8,     5.3,     0.8,     3.0,       0,
0909,2011-10-14,,     0.0,     3.2,     3.6,     7.5,     0.1,     3.0,       0,
0909,2011-10-15,,     0.0,     3.2,     1.8,     7.9,     1.8,     4.4,       0,
0909,2011-10-16,,     0.0,     3.2,     4.8,     9.4,     0.5,     4.4,       0,
0909,2011-10-17,,     0.0,     3.2,     2.8,     9.1,     2.4,     4.7,       0,
0909,2011-10-18,,     0.0,     3.2,     7.9,    11.3,     1.1,     5.9,       0,
0909,2011-10-19,,     0.1,     3.2,    10.0,    16.9,     7.1,    11.0,       0,
0909,2011-10-20,,     0.0,     3.2,     5.9,    12.9,     5.8,     8.6,       0,
0909,2011-10-21,,     0.0,     3.4,     3.7,     6.9,     3.6,     5.3,       0,
0909,2011-10-22,,     0.0,     3.7,     5.5,     6.5,     3.5,     5.5,       0,
0909,2011-10-23,,     0.0,     4.6,     5.2,     8.1,     2.5,     5.7,       0,
0909,2011-10-24,,     0.0,     4.7,     0.8,     6.3,     0.0,     3.2,       0,
0909,2011-10-25,,     0.0,     4.9,     0.5,     2.4,    -0.4,     1.1,       0,
0909,2011-10-26,,     0.0,     4.9,     0.4,     6.6,    -0.8,     1.3,       0,
0909,2011-10-27,,     0.0,     5.0,     0.1,     3.1,    -0.4,     1.0,       0,
0909,2011-10-28,,     0.1,     5.0,     5.8,     6.2,    -3.0,     1.4,       0,
0909,2011-10-29,,     0.3,     5.7,     1.3,     7.7,     0.9,     3.9,       0,
0909,2011-10-30,,     0.3,     5.7,     2.8,     4.2,     0.0,     1.9,       0,
0909,2011-10-31,,     0.0,     6.3,     0.5,     7.8,     0.0,     4.0,       0,
0909,2011-11-01,,     0.2,     6.5,    -1.5,     2.0,    -1.6,     0.2,       1,
0909,2011-11-02,,     0.3,     6.6,     0.5,     3.4,    -3.3,    -0.3,       1,
0909,2011-11-03,,     0.5,     6.9,    -0.1,     7.5,    -0.1,     3.4,       9,
0909,2011-11-04,,     0.9,     7.2,    -3.1,     2.4,    -3.2,    -0.4,       7,
0909,2011-11-05,,     0.8,     7.2,    -3.5,     1.7,    -4.2,    -2.2,       6,
0909,2011-11-06,,     0.8,     7.2,    -4.5,     2.4,    -4.9,    -2.9,       5,
0909,2011-11-07,,     0.9,     7.2,    -1.3,     2.4,    -5.3,    -1.7,       5,
0909,2011-11-08,,     1.1,     7.5,     0.5,     1.1,    -2.2,    -0.4,       7,
0909,2011-11-09,,     1.3,     7.5,     2.4,     4.7,     0.0,     1.3,      10,
0909,2011-11-10,,     1.3,     7.5,     4.7,     8.0,     1.7,     4.5,       6,
0909,2011-11-11,,     1.3,     7.5,     3.0,     8.1,     2.6,     4.3,       5,
0909,2011-11-12,,     2.1,     8.6,    -2.7,     4.4,    -3.1,     0.3,      16,
0909,2011-11-13,,     2.5,     8.9,     1.1,     2.0,    -3.7,    -1.4,      16,
0909,2011-11-14,,     3.0,     9.6,     0.0,     1.2,    -1.2,    -0.2,      16,
0909,2011-11-15,,     3.5,    10.1,    -3.5,     0.1,    -3.8,    -2.2,      17,
0909,2011-11-16,,     3.5,    10.1,    -5.4,     0.9,    -5.8,    -3.6,      18,
0909,2011-11-17,,     4.2,    11.1,     1.1,     3.1,    -5.4,    -1.0,      17,
0909,2011-11-18,,     5.2,    12.0,    -3.3,     1.1,    -4.8,    -2.8,      25,
0909,2011-11-19,,     5.9,    12.7,    -7.3,    -1.6,    -8.3,    -4.1,      31,
0909,2011-11-20,,     6.0,    12.7,    -8.1,    -2.4,    -8.4,    -6.7,      29,
0909,2011-11-21,,     6.0,    12.7,    -3.9,    -1.6,    -9.2,    -6.0,      28,
0909,2011-11-22,,     6.7,    13.7,     1.1,     1.1,    -3.8,    -0.9,      35,
0909,2011-11-23,,     8.3,    15.7,     1.4,     2.3,     0.3,     1.1,      40,
0909,2011-11-24,,     9.4,    17.5,    -2.5,     3.4,    -3.4,    -0.1,      40,
0909,2011-11-25,,     9.9,    18.0,    -2.4,    -0.4,    -3.8,    -2.0,      39,
0909,2011-11-26,,    10.3,    18.3,    -1.7,     0.4,    -4.0,    -2.7,      42,
0909,2011-11-27,,    10.4,    18.9,     5.2,     6.0,    -2.5,     2.4,      38,
0909,2011-11-28,,    10.7,    20.6,    -1.3,     5.3,    -1.3,     2.2,      32,
