

 ()  Site  - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Wed Jul 10 17:30:33 GMT-08:00 2019. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,WTEQ.I-1 (in) ,PREC.I-1 (in) ,TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,
0951,2007-10-01,,     0.0,     0.0,    -1.6,    11.3,    -5.2,     2.9,
0951,2007-10-02,,     0.0,     0.0,    -2.1,    10.6,    -3.6,     1.4,
0951,2007-10-03,,     0.0,     0.1,    -1.2,     4.6,    -3.0,     0.3,
0951,2007-10-04,,     0.0,     0.1,    -7.2,     1.9,    -7.0,    -2.8,
0951,2007-10-05,,     0.0,     0.1,   -12.8,     3.1,   -13.2,    -6.1,
0951,2007-10-06,,     0.0,     0.2,    -8.8,    -1.0,   -12.9,    -7.8,
0951,2007-10-07,,     0.0,     0.2,    -8.7,    -2.2,   -10.1,    -6.7,
0951,2007-10-08,,     0.0,     0.2,    -9.0,    -3.2,   -11.1,    -7.8,
0951,2007-10-09,,     0.0,     0.2,    -8.1,    -2.9,    -9.6,    -6.7,
0951,2007-10-10,,     0.0,     0.2,   -17.1,     0.8,   -16.7,    -8.3,
0951,2007-10-11,,     0.0,     0.2,    -9.4,    -2.1,   -18.2,   -11.0,
0951,2007-10-12,,     0.0,     0.2,   -18.0,    -1.1,   -18.4,   -10.6,
0951,2007-10-13,,     0.0,     0.2,   -13.9,     1.9,   -20.3,   -11.5,
0951,2007-10-14,,     0.0,     0.3,    -7.9,    -1.0,   -15.8,    -8.9,
0951,2007-10-15,,     0.0,     0.3,   -11.6,     1.2,   -12.4,    -7.0,
0951,2007-10-16,,     0.0,     0.3,   -13.3,     5.8,   -13.3,    -6.8,
0951,2007-10-17,,     0.0,     0.3,   -13.2,     4.8,   -16.7,    -9.6,
0951,2007-10-18,,     0.0,     0.3,   -10.3,     6.1,   -12.2,    -5.4,
0951,2007-10-19,,     0.0,     0.3,    -7.8,    -3.0,   -10.3,    -6.7,
0951,2007-10-20,,     0.3,     0.6,    -7.8,    -5.3,    -8.1,    -7.2,
0951,2007-10-21,,     0.3,     0.6,    -9.9,    -1.5,   -14.2,    -7.9,
0951,2007-10-22,,     0.3,     0.6,   -18.0,    -1.1,   -18.9,   -12.6,
0951,2007-10-23,,     0.3,     0.6,   -16.3,    -3.4,   -22.2,   -15.8,
0951,2007-10-24,,     0.4,     0.7,   -17.9,    -2.3,   -17.9,   -12.6,
0951,2007-10-25,,     0.6,     0.9,    -5.0,    -4.7,   -20.8,   -11.4,
0951,2007-10-26,,     0.6,     0.9,    -5.4,    -4.7,   -20.8,   -11.4,
0951,2007-10-27,,     0.6,     0.9,    -9.2,     0.7,    -9.5,    -5.0,
0951,2007-10-28,,     0.6,     0.9,   -15.0,    -3.8,   -15.0,    -9.2,
0951,2007-10-29,,     0.6,     0.9,   -18.4,    -4.6,   -17.9,   -13.4,
0951,2007-10-30,,     0.6,     0.9,   -11.7,    -6.4,   -19.1,   -13.0,
0951,2007-10-31,,     0.6,     0.9,    -6.4,     3.1,   -11.9,    -3.9,
0951,2007-11-01,,     0.6,     0.9,   -10.1,     2.9,   -11.4,    -3.1,
0951,2007-11-02,,     0.6,     0.9,    -4.6,    -2.2,   -12.6,    -8.3,
0951,2007-11-03,,     0.6,     0.9,    -6.5,    -3.7,   -11.9,    -7.2,
0951,2007-11-04,,     0.6,     0.9,   -12.9,    -3.8,   -12.3,    -6.9,
0951,2007-11-05,,     0.6,     0.9,   -10.5,    -6.8,   -16.6,   -11.2,
0951,2007-11-06,,     0.6,     0.9,   -13.8,    -5.5,   -13.6,    -9.0,
0951,2007-11-07,,     0.6,     0.9,   -17.8,   -13.6,   -19.4,   -17.1,
0951,2007-11-08,,     0.6,     0.9,    -4.4,    -1.3,   -17.8,   -10.2,
0951,2007-11-09,,     0.6,     0.9,    -1.0,     2.4,    -5.2,    -2.7,
0951,2007-11-10,,     0.6,     0.9,    -9.9,     1.4,   -13.1,    -5.9,
0951,2007-11-11,,     0.6,     0.9,   -12.3,   -12.5,   -18.1,   -15.0,
0951,2007-11-12,,     0.6,     0.9,   -18.5,   -10.6,   -18.9,   -13.6,
