

California (PST) SCAN Site Eagle Lake - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Wed Jul 10 17:34:21 GMT-08:00 2019. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,PREC.I-1 (in) ,TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,
2192,2012-06-13,,    6.53,    12.5,    27.3,    12.3,    20.8,
2192,2012-06-14,,    6.53,    13.5,    27.0,     9.4,    18.1,
2192,2012-06-15,,    6.53,    14.8,    27.8,     7.8,    18.6,
2192,2012-06-16,,    6.53,    13.6,    27.8,    10.3,    19.3,
2192,2012-06-17,,    6.53,    15.0,    29.9,     8.4,    19.9,
2192,2012-06-18,,    6.53,    16.3,    32.5,    10.1,    21.4,
2192,2012-06-19,,    6.53,     9.6,    27.5,     9.4,    19.2,
2192,2012-06-20,,    6.53,    10.0,    23.9,     5.4,    14.5,
2192,2012-06-21,,    6.53,    13.0,    27.9,     3.9,    17.3,
2192,2012-06-22,,    6.53,    13.7,    28.7,     7.7,    18.5,
2192,2012-06-23,,    6.53,     9.0,    19.8,     7.7,    12.6,
2192,2012-06-24,,    6.53,     6.2,    17.4,     4.9,    11.1,
2192,2012-06-25,,    6.53,     8.2,    20.4,     4.2,    12.5,
2192,2012-06-26,,    6.53,     8.3,    18.5,     5.1,    12.2,
2192,2012-06-27,,    6.53,     7.4,    21.1,     5.5,    13.0,
2192,2012-06-28,,    6.53,    11.1,    26.3,     2.7,    15.4,
2192,2012-06-29,,    6.53,     9.3,    25.0,     5.2,    16.0,
2192,2012-06-30,,    6.53,    11.2,    27.1,     5.6,    16.8,
2192,2012-07-01,,    6.53,    14.9,    26.3,     6.8,    17.1,
2192,2012-07-02,,    6.53,    14.3,    25.7,    10.0,    18.1,
2192,2012-07-03,,    6.53,    15.4,    29.9,     9.4,    20.0,
2192,2012-07-04,,    6.53,    14.4,    28.2,    10.1,    19.4,
2192,2012-07-05,,    6.53,    14.6,    28.7,     8.1,    19.1,
2192,2012-07-06,,    6.53,    10.0,    27.3,     8.0,    18.0,
2192,2012-07-07,,    6.53,    13.4,    28.9,     7.1,    18.7,
2192,2012-07-08,,    6.53,    15.2,    32.9,     9.2,    20.9,
2192,2012-07-09,,    6.53,    15.6,    32.5,    10.4,    21.7,
2192,2012-07-10,,    6.53,    13.7,    31.4,     9.5,    21.1,
2192,2012-07-11,,    6.53,    14.6,    32.8,     8.4,    21.1,
2192,2012-07-12,,    6.53,    17.6,    33.4,     9.9,    22.2,
2192,2012-07-13,,    6.53,    15.5,    33.2,    10.2,    22.5,
2192,2012-07-14,,    6.53,    14.2,    31.6,     9.8,    21.3,
2192,2012-07-15,,    6.53,    15.4,    30.3,     8.5,    20.2,
2192,2012-07-16,,    6.53,    17.7,    30.0,     9.9,    20.6,
2192,2012-07-17,,    6.53,    15.0,    26.4,    11.1,    19.0,
2192,2012-07-18,,    6.53,     8.4,    23.1,     8.4,    16.5,
2192,2012-07-19,,    6.53,    11.6,    24.4,     4.8,    15.4,
2192,2012-07-20,,    6.53,    14.7,    22.6,    10.1,    16.0,
2192,2012-07-21,,    6.53,    12.1,    27.3,    11.5,    19.3,
2192,2012-07-22,,    6.53,    12.6,    31.2,     7.7,    19.6,
2192,2012-07-23,,    6.53,    15.3,    31.7,     9.1,    20.8,
2192,2012-07-24,,    6.91,    12.8,    31.9,    12.7,    19.9,
2192,2012-07-25,,    6.91,    13.5,    28.9,    11.3,    19.8,
2192,2012-07-26,,    6.91,    14.1,    29.6,     7.3,    19.1,
2192,2012-07-27,,    6.91,    13.8,    29.6,     9.1,    19.4,
2192,2012-07-28,,    6.91,    13.4,    29.3,     8.4,    19.1,
2192,2012-07-29,,    6.91,    14.0,    29.8,     9.5,    19.5,
2192,2012-07-30,,    6.91,    15.3,    31.1,     9.0,    20.1,
2192,2012-07-31,,    6.91,    15.1,    30.9,    11.4,    21.1,
2192,2012-08-01,,    6.91,    16.5,    31.4,    10.3,    20.9,
2192,2012-08-02,,    6.91,    15.8,    32.0,    10.1,    20.9,
2192,2012-08-03,,    6.91,    17.1,    31.7,     9.8,    21.4,
2192,2012-08-04,,    6.91,    16.5,    33.4,     9.7,    22.0,
2192,2012-08-05,,    6.91,    20.9,    34.8,    10.5,    23.0,
2192,2012-08-06,,    6.93,    14.4,    30.0,    13.9,    22.2,
2192,2012-08-07,,    6.93,    14.2,    31.2,     9.2,    20.3,
2192,2012-08-08,,    6.93,    13.6,    30.2,     8.4,    19.6,
2192,2012-08-09,,    6.93,    14.5,    32.5,     8.8,    20.2,
2192,2012-08-10,,    6.93,    13.9,    33.6,     8.5,    21.3,
2192,2012-08-11,,    6.93,    14.3,    33.0,     9.2,    20.6,
2192,2012-08-12,,    6.93,    15.5,    34.6,     9.5,    21.6,
2192,2012-08-13,,    6.93,    17.4,    35.0,    10.7,    22.4,
2192,2012-08-14,,    6.93,    19.3,    34.4,    12.7,    23.4,
2192,2012-08-15,,    6.93,    22.4,    34.7,    15.0,    24.4,
2192,2012-08-16,,    6.93,    20.1,    33.0,    14.8,    23.9,
2192,2012-08-17,,    6.93,    17.2,    33.2,    14.6,    23.7,
2192,2012-08-18,,    7.30,    15.1,    32.7,    13.0,    21.8,
2192,2012-08-19,,    7.42,    14.3,    28.9,    13.8,    19.9,
2192,2012-08-20,,    7.42,    13.5,    30.3,     9.4,    19.4,
2192,2012-08-21,,    7.42,    14.3,    31.0,     8.3,    19.3,
2192,2012-08-22,,    7.42,    12.5,    28.3,     9.3,    18.7,
2192,2012-08-23,,    7.42,    13.8,    29.7,     8.4,    18.7,
2192,2012-08-24,,    7.42,    13.1,    29.1,     9.1,    18.9,
2192,2012-08-25,,    7.42,    12.5,    29.5,     7.8,    18.5,
2192,2012-08-26,,    7.42,    13.8,    28.8,     7.4,    18.1,
2192,2012-08-27,,    7.42,    10.0,    26.6,     9.2,    17.0,
2192,2012-08-28,,    7.42,     9.6,    25.8,     5.6,    15.8,
2192,2012-08-29,,    7.42,     9.6,    26.4,     3.6,    15.1,
2192,2012-08-30,,    7.42,    10.5,    28.2,     3.6,    15.9,
2192,2012-08-31,,    7.42,    11.5,    29.0,     5.3,    16.8,
2192,2012-09-01,,    7.42,     8.6,    28.0,     5.9,    16.5,
2192,2012-09-02,,    7.42,     9.9,    25.2,     3.5,    14.5,
2192,2012-09-03,,    7.42,    13.4,    28.0,     5.3,    16.8,
2192,2012-09-04,,    7.42,    11.3,    29.9,     7.0,    17.9,
2192,2012-09-05,,    7.42,    10.4,    29.3,     5.5,    17.4,
2192,2012-09-06,,    7.42,    18.2,    29.3,     5.8,    17.8,
2192,2012-09-07,,    7.42,    12.0,    27.6,    10.7,    18.9,
2192,2012-09-08,,    7.42,    13.1,    28.1,     8.1,    17.8,
2192,2012-09-09,,    7.42,    13.5,    31.2,     9.0,    19.2,
2192,2012-09-10,,    7.42,     9.0,    27.8,     9.0,    18.0,
2192,2012-09-11,,    7.42,    11.2,    26.6,     3.1,    15.1,
2192,2012-09-12,,    7.42,    10.2,    26.9,     6.3,    16.3,
2192,2012-09-13,,    7.42,    10.9,    26.9,     5.5,    16.3,
2192,2012-09-14,,    7.42,    11.9,    28.8,     7.4,    18.2,
2192,2012-09-15,,    7.42,    12.9,    28.5,     7.0,    17.3,
2192,2012-09-16,,    7.42,     9.0,    27.9,     8.3,    17.1,
2192,2012-09-17,,    7.42,     9.5,    28.0,     4.7,    15.6,
2192,2012-09-18,,    7.42,    10.9,    27.0,     5.3,    16.0,
2192,2012-09-19,,    7.42,    11.6,    28.5,     6.1,    16.8,
2192,2012-09-20,,    7.42,    11.5,    28.9,     6.2,    17.2,
2192,2012-09-21,,    7.42,    12.3,    28.8,     6.8,    17.6,
2192,2012-09-22,,    7.42,    12.6,    28.9,     7.0,    17.3,
2192,2012-09-23,,-99.9,    11.8,-99.9,-99.9,-99.9,
2192,2012-09-24,,    7.42,    11.4,    25.6,    10.1,    16.3,
2192,2012-09-25,,    7.42,     8.5,    21.8,     5.3,    13.3,
2192,2012-09-26,,    7.42,     9.5,    23.8,     4.4,    13.9,
2192,2012-09-27,,    7.42,     9.3,    25.2,     5.2,    14.6,
2192,2012-09-28,,    7.42,    11.1,    26.9,     5.3,    15.7,
2192,2012-09-29,,    7.42,    12.2,    27.8,     6.1,    16.2,
2192,2012-09-30,,    7.42,     9.9,    28.4,     6.6,    16.4,
2192,2012-09-30,23:59,    7.42,-99.9,-99.9,-99.9,-99.9,




