

California (PST) SCAN Site Eagle Lake - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Wed Jul 10 17:34:23 GMT-08:00 2019. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,PREC.I-1 (in) ,TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,SNWD.I-1 (in) ,
2192,2015-10-01,,    0.00,    11.1,    17.5,     2.4,    11.1,       0,
2192,2015-10-02,,    0.25,     7.3,    13.1,     7.3,    10.4,       0,
2192,2015-10-03,,    0.25,     5.9,    19.6,     3.9,    11.0,       0,
2192,2015-10-04,,    0.60,     5.1,    16.9,     0.6,     7.1,       0,
2192,2015-10-05,,    0.60,     4.7,    18.4,     2.5,     9.5,       0,
2192,2015-10-06,,    0.60,     6.6,    21.1,     1.9,    10.7,       0,
2192,2015-10-07,,    0.60,     8.1,    22.7,     3.6,    12.1,       0,
2192,2015-10-08,,    0.60,    11.2,    22.6,     3.1,    12.6,       0,
2192,2015-10-09,,    0.60,     8.9,    25.2,     6.6,    14.9,       0,
2192,2015-10-10,,    0.60,     7.4,    26.6,     4.1,    14.1,       0,
2192,2015-10-11,,    0.60,    10.3,    24.3,     4.5,    14.3,       0,
2192,2015-10-12,,    0.60,     7.2,    25.2,     4.0,    13.0,       0,
2192,2015-10-13,,    0.60,     8.0,    27.3,     2.6,    13.5,       0,
2192,2015-10-14,,    0.60,     8.9,    28.0,     3.6,    14.4,       0,
2192,2015-10-15,,    0.60,     9.5,    28.3,     4.3,    14.6,       0,
2192,2015-10-16,,    0.60,    12.2,    26.8,     4.3,    15.2,       0,
2192,2015-10-17,,    0.60,    13.0,    22.9,     8.4,    14.9,       0,
2192,2015-10-18,,    0.73,     3.9,    15.9,     3.9,    11.3,       0,
2192,2015-10-19,,    0.73,     7.0,    14.9,     3.4,     7.6,       0,
2192,2015-10-20,,    0.73,     4.1,    15.1,     3.7,     8.0,       0,
2192,2015-10-21,,    0.73,     3.2,    15.7,    -0.5,     7.6,       0,
2192,2015-10-22,,    0.73,     1.4,    15.4,    -1.7,     6.3,       0,
2192,2015-10-23,,    0.73,     2.2,    17.9,    -0.1,     7.3,       0,
2192,2015-10-24,,    0.73,     3.3,    17.1,    -2.1,     7.3,       0,
2192,2015-10-25,,    0.73,     4.3,    17.7,    -0.2,     7.3,       0,
2192,2015-10-26,,    0.73,     9.6,    18.2,     1.0,     9.7,       0,
2192,2015-10-27,,    0.73,     1.4,    20.5,    -1.1,     8.9,       0,
2192,2015-10-28,,    0.77,     5.1,    14.6,     1.2,     6.6,       0,
2192,2015-10-29,,    1.13,     0.5,    10.1,     0.5,     5.4,       0,
2192,2015-10-30,,    1.14,    -1.3,    11.7,    -2.3,     3.3,       0,
2192,2015-10-31,,    1.14,     2.6,    17.5,    -2.9,     5.2,       0,
2192,2015-11-01,,    1.14,     9.1,    19.1,    -0.9,     8.8,       0,
2192,2015-11-02,,    1.26,     3.0,    11.4,     2.9,     8.8,       0,
2192,2015-11-03,,    1.83,     0.6,     3.4,    -0.7,     1.0,       0,
2192,2015-11-04,,    1.83,    -2.0,     4.6,    -2.0,     1.1,       0,
2192,2015-11-05,,    1.83,    -5.3,     3.5,    -5.4,    -1.2,       0,
2192,2015-11-06,,    1.83,    -3.2,     7.7,    -6.5,    -0.8,       0,
2192,2015-11-07,,    1.83,    -2.7,     8.8,    -5.9,     0.1,       0,
2192,2015-11-08,,    1.83,    -0.4,    10.0,    -5.0,     1.7,       0,
2192,2015-11-09,,    1.83,     1.0,     5.4,    -1.1,     2.5,       0,
2192,2015-11-10,,    2.13,    -1.7,     2.4,    -2.2,    -0.6,       1,
2192,2015-11-11,,    2.31,    -6.2,     2.4,    -6.2,    -2.3,       1,
2192,2015-11-12,,    2.31,    -4.3,     5.7,    -6.6,    -2.6,       1,
2192,2015-11-13,,    2.31,    -4.3,     8.0,    -6.6,    -1.4,       0,
2192,2015-11-14,,    2.31,    -2.8,     8.8,    -6.2,     0.1,       0,
2192,2015-11-15,,    2.31,     5.0,    14.0,    -5.2,     3.6,       0,
2192,2015-11-16,,    2.35,    -3.9,     5.2,    -3.9,     0.6,       0,
2192,2015-11-17,,    2.40,    -3.7,     0.5,    -5.6,    -3.3,       0,
